2018 big climb seattle
2018-3-25

175 # 100 base, 75 bonus
,Jesse Berg,,,7:59
,Tristan Roth,,,8:08
,Chris Baldus,,,8:09
,Zach Schade,,,8:09
,Eric Brill,,,8:23
,Mark Henderson,,,8:25
,Aaron Mainer,,,8:53
,Tim Whitcombe,,,9:00
,Lawrence Beck,,,9:02
,Ambrogino Giusti,,,9:10
,Mason Watamura,,,9:13
,Paul Yetter,,,9:15
,Kevin Lin,,,9:17
,Tyler Kennedy,,,9:21
,Shrikant Adhikarla,,,9:26
,Rick Wade,,,9:27
,Noah Kreyenhagen,,,9:27
,Spencer Ambauen,,,9:33
,Shane Effgen,,,9:36
,Martin Keereman,,,9:36
,Andre Ellison,,,9:42
,Caleb Richardson,,,9:43
,Phillip Meader Yetter,,,9:44
,Justin Burgess,,,9:45
,Scott Harder,,,9:47
,Christopher Markus,,,9:50
,Westy Ford,,,9:50
,ethan Libman,,,9:57
,Iain Maryanow,,,9:58
,Ian Cox,,,9:58
,Mason Wrolstad,,,9:59
,Isrea Butler,,,10:03
,Gavin McLeroy,,,10:05
,Alex Eng,,,10:05
,Seth Holsinger,,,10:05
,Sean Messiter,,,10:06
,Patrick Hodder,,,10:06
,Dillon Roth,,,10:09
,Greg Long,,,10:10
,Logan Fouts,,,10:12
,Perry Olix,,,10:13
,Connor Holtzclaw,,,10:13
,Jeffrey Dinkin,,,10:20
,Scott Janke,,,10:21
,Kyle Watamura,,,10:21
,Matthias Broecheler,,,10:22
,Sam Gross,,,10:24
,Andrew Harris,,,10:25
,Alberto Lopez,,,10:26
,Chad Hopkins,,,10:26
,Dwayne Magnusson,,,10:27
,Nathan Harmon,,,10:27
,David Klinginsmith,,,10:29
,Daniel Dill,,,10:30
,Alexander Cornacchia,,,10:31
,steve Johns,,,10:33
,nick gerisilo,,,10:33
,jonah phillips,,,10:35
,Spencer Wallis,,,10:36
,Gregg Goodman,,,10:37
,Clay Cortright,,,10:37
,Harper Churape,,,10:39
,Tyler Peterson,,,10:39
,Eric Chang,,,10:41
,Tyson Goodman,,,10:41
,Dan Arlan,,,10:41
,Nicholas Thompson,,,10:42
,John Daly,,,10:42
,Colin Bryant,,,10:42
,CHRISTIAN DOBRICK,,,10:42
,Robert McLaughlin,,,10:43
,Blake Harmon,,,10:46
,PAUL GUTIERREZ,,,10:46
,Xavier Wilkening-Joly,,,10:47
,Scott Hieronymus,,,10:47
,Remy Vespaziani,,,10:48
,Tyler Brown,,,10:48
,Brian Crossman,,,10:48
,Rick Phillips,,,10:49
,Brendan Sandico,,,10:49
,Todd McMeekin,,,10:50
,Nick Peterson,,,10:51
,Grant Cetina,,,10:55
,Justin Campbell,,,10:57
,Taylor Merwin,,,10:58
,Ryan Hough,,,11:00
,Erik Cutts,,,11:00
,Kevin Williamson,,,11:00
,Austen Kartic,,,11:00
,Andrew Russell,,,11:01
,Connor Pittman,,,11:01
,Thomas Graves,,,11:01
,Mark Viger,,,11:02
,joseph barnum,,,11:02
,Duncan Lee,,,11:04
,Sean Hackney,,,11:04
,Michael Richmond,,,11:04
,Sam Margolis,,,11:06
,Paul Hawkes,,,11:06
,Dylan Lee,,,11:07
,Brandon Rojas,,,11:08
,Evan Shoemaker,,,11:10
,Richard Rice,,,11:12
,Kyle Williams,,,11:12
,Yao Djilan,,,11:13
,Tanner Anderson,,,11:16
,Nathan Motsinger,,,11:17
,Mike Ritchie,,,11:19
,Randy Litch,,,11:21
,David Pace,,,11:22
,Jesse Durrant,,,11:22
,Shawn Coman,,,11:22
,Duane Guiranovitch,,,11:23
,Ryan Patricelli,,,11:23
,Dustin Burson,,,11:23
,Travis Harris,,,11:24
,Gary Bass,,,11:24
,Victor Kitzes,,,11:24
,Kaden Lusink,,,11:25
,Marc Zawislak,,,11:25
,Steven Richardson,,,11:25
,Daniel Roberts,,,11:25
,Garrett Allen,,,11:26
,Benjamin Card,,,11:26
,Michael Buchino,,,11:26
,Craig Kartes,,,11:26
,warren libman,,,11:28
,Benson Dastrup,,,11:28
,Dan Contreras,,,11:29
,Nate Russell,,,11:29
,Carlo Churape,,,11:29
,Clarke Hinkle,,,11:29
,Erik Peterson,,,11:29
,Brian Buensuceso,,,11:30
,Dustin Dhanani,,,11:30
,chris herron,,,11:30
,Matthew Cullum,,,11:31
,Micah Tratt,,,11:32
,Robert Caylor,,,11:32
,Daigo Katagiri,,,11:32
,PAUL BERGNER,,,11:32
,Derek Pina,,,11:33
,David Wiviott,,,11:33
,Trevor Rasmussen,,,11:33
,Benjamin Cook,,,11:34
,Karthik Subramanyam,,,11:34
,Peter Williams,,,11:35
,Aedan Brown,,,11:36
,DAVID DEL POZO GONZALEZ,,,11:36
,Brad Henry,,,11:37
,Lucas Bowers,,,11:37
,Habtamu Bekele,,,11:38
,Jason Hollingsworth,,,11:38
,Case Matter,,,11:38
,Joel Walters,,,11:38
,Sean Bourne,,,11:40
,Leif Magnuson,,,11:40
,Brien Marcus,,,11:42
,Sander de Haan,,,11:43
,Mark Hoffman,,,11:45
,Charles Doyon,,,11:45
,Kyle Anderson,,,11:47
,Rob Goldberg,,,11:47
,Conor Law,,,11:48
,Brian Erickson,,,11:49
,Dan Kennedy,,,11:49
,Jacob Hines,,,11:49
,Tyler Jump,,,11:50
,Tony Gringle,,,11:51
,Sunny Salh,,,11:52
,Slade Bruneau,,,11:53
,Michael Nazionale,,,11:53
,Ty Herrman,,,11:54
,Dirk Brandenburg,,,11:55
,Brian Yoshino,,,11:55
,Corey Martin,,,11:56
,Jake Chaffee,,,11:57
,Guillaume Chabot-Couture,,,11:57
,Christopher Johnson,,,11:58
,Wayne Stoppler,,,12:00
,Scott Hermann,,,12:00
,Jordan Nakamura,,,12:01
,Eli Wang,,,12:01
,Dennis Daugs,,,12:03
,Dan Parish,,,12:03
,Jawad Ahmad,,,12:04
,Lelond Anderson,,,12:04
,Sean Kelly,,,12:04
,Brian Cohrt,,,12:05
,Joe Parker,,,12:05
,Matt Miller,,M,12:06
,Bryan Nichols,,M,12:06
,Joshua Fiske,,M,12:07
,Zach Heggen,,M,12:08
,Tom Eng,,M,12:08
,Vince Ethier,,M,12:08
,Todd Freeman,,M,12:08
,Griffin Smith,,M,12:09
,Jason Tijsseling,,M,12:10
,Doug Brownlow,,M,12:10
,Huzaif Abdul-Sattar,,M,12:10
,Andrew Sheng,,M,12:11
,Ben Preston,,M,12:12
,Ryan Contreras,,M,12:12
,Steven Wojcio,,M,12:12
,Brad Watamura,,M,12:12
,Anthony Gronotte,,M,12:12
,Ben Travis,,M,12:12
,Ranveer Thind,,M,12:13
,David Rostov,,M,12:13
,Emerson Fulton,,M,12:14
,Derek Pulvino,,M,12:15
,Kevan Brown,,M,12:15
,Cole Davis,,M,12:15
,Marcin Lobrow,,M,12:16
,Conor O'Brien,,M,12:17
,George Cummings,,M,12:18
,Thomas Campbell,,M,12:19
,James Dupar,,M,12:19
,Nick Tanner,,M,12:20
,Jordan Blumenthal,,M,12:20
,John Taylor,,M,12:22
,Eric Hrivnak,,M,12:22
,Steve Sando,,M,12:22
,Scott Harris,,M,12:22
,Jeff Veach,,M,12:23
,Christopher Scott,,M,12:23
,Nick Albert,,M,12:23
,Ken Cates,,M,12:23
,Jeremy Davis,,M,12:23
,John Wood,,M,12:23
,Xin-Liu Yao,,M,12:24
,Jordan Perry,,M,12:24
,Wayne Kragt,,M,12:24
,Michael Alba,,M,12:24
,Maxwell Heid,,M,12:25
,Quinn Gifford,,M,12:26
,Douglas George,,M,12:26
,Jeff Eger,,M,12:26
,Cody Sample,,M,12:27
,Andrew Davis,,M,12:27
,Marlou Domingo,,M,12:27
,Bill Leyrer,,M,12:27
,Frederick Ancheta,,M,12:28
,Nicholas Phillips,,M,12:28
,Logan Shoemaker,,M,12:29
,Shane Seyboldt,,M,12:30
,Alex Seeberger,,M,12:30
,Marc Joynt,,M,12:32
,Greg Crew,,M,12:32
,Joe Puleo,,M,12:32
,Jordan Lenk,,M,12:32
,John Parks,,M,12:32
,John Duong,,M,12:33
,Gordon Kritzer,,M,12:33
,John Pagel,,M,12:33
,Sean Holt,,M,12:33
,David Brown,,M,12:33
,Onur Ozbek,,M,12:33
,Hans McCanless,,M,12:33
,Frank Alvarado,,M,12:34
,Scott Shaw,,M,12:34
,Benjamin Randall,,M,12:34
,Brad Simmons,,M,12:34
,Brandon Bohlen,,M,12:34
,Chris Waldron,,M,12:35
,Nelson Valladares,,M,12:36
,Samuel Rosenberg,,M,12:38
,Ross Fosler,,M,12:39
,Troy Williams,,M,12:39
,Bennett Moriarty,,M,12:39
,Eric McLeroy,,M,12:40
,Grant Bennett,,M,12:40
,Daniel Jump,,M,12:40
,Tucker Greene,,M,12:41
,Steven Shugart,,M,12:41
,Andy Cross,,M,12:42
,Tal Edman,,M,12:42
,Jon Kosaka,,M,12:43
,Dustin Bell,,M,12:43
,Martin Moreno,,M,12:44
,John Millick,,M,12:45
,Alex Miller,,M,12:46
,Jesse Rowell,,M,12:47
,Colby Fazio,,M,12:47
,Peter Mostow,,M,12:48
,David Stirm,,M,12:49
,Larry Shoemaker,,M,12:49
,Jeff Metzger,,M,12:49
,Austin Fritsch,,M,12:49
,Steve Reichenbach,,M,12:51
,John rapp,,M,12:51
,Jay Scott,,M,12:52
,Mark Santaniello,,M,12:52
,Richard Fernandez,,M,12:52
,Jerry Todd,,M,12:53
,George Lampe,,M,12:53
,Chris Heygood,,M,12:53
,matt mutton,,M,12:53
,Mark Mclemore,,M,12:54
