2019 bop to the top triple,,,,,
2019-1-20,,,,,
,,,,,
100 #base points, no bonus,, only 8 made the 17:20 cutoff,,
    1  TRIP,JOSHUA DUNCAN,  42,M,   04:59,0:15:03.
,,  42,M,   05:01,
,,  42,M,   05:03,
,,,,,
    2  TRIP,CINDY A HARRIS,  51,F,   05:01,0:15:07.
,,  51,F,   05:02,
,,  51,F,   05:04,
,,,,,
    3  TRIP,MADELINE KELLER,  16,F,   05:16,0:15:59.
,,  16,F,   05:20,
,,  16,F,   05:22,
,,,,,
    4  TRIP,MICHAEL TRAYSER,  33,M,   05:07,0:16:11.
,,  33,M,   05:31,
,,  33,M,   05:32,
,,,,,
    5  TRIP,NICK ANDERSON,  14,M,   05:20,0:16:20.
,,  14,M,   05:29,
,,  14,M,   05:30,
,,,,,
    6  TRIP,CALEB HARMS,  15,M,   05:22,0:16:29.
,,  15,M,   05:29,
,,  15,M,   05:37,
,,,,,
    7  TRIP,JOE KENNY,  62,M,   05:35,0:16:48.
,,  62,M,   05:35,
,,  62,M,   05:36,
,,,,,
    8  TRIP,JOSH JACKETT,  40,M,   05:42,0:17:13.
,,  40,M,   05:44,
,,  40,M,   05:45,
,,,,,
    9  TRIP,HAL CARLSON,  67,M,   05:46,0:17:29.
,,  67,M,   05:47,
,,  67,M,   05:55,
,,,,,
   10  TRIP,COLM ONEACRE,  15,M,   05:43,0:17:43.
,,  15,M,   05:59,
,,  15,M,   06:00,
,,,,,
   11  TRIP,JOHN ADAMS,  46,M,   05:45,0:17:52.
,,  46,M,   06:01,
,,  46,M,   06:04,
,,,,,
   12  TRIP,MIKE WILLIAMS,  49,M,   05:50,0:18:14.
,,  49,M,   06:02,
,,  49,M,   06:21,
,,,,,
   13  TRIP,CARALEE EVANS,  48,F,   06:12,0:18:43.
,,  48,F,   06:15,
,,  48,F,   06:15,
,,,,,
   14  TRIP,VERITY REES,  35,F,   06:12,0:18:58.
,,  35,F,   06:19,
,,  35,F,   06:26,
,,,,,
   15  TRIP,JILL PAHA,  38,F,   06:13,0:19:09.
,,  38,F,   06:21,
,,  38,F,   06:34,
,,,,,
   16  TRIP,RICK MARTIN,  51,M,   06:05,0:19:24.
,,  51,M,   06:36,
,,  51,M,   06:42,
,,,,,
   17  TRIP,FRANK MINOR,  30,M,   06:22,0:19:26.
,,  30,M,   06:23,
,,  30,M,   06:40,
,,,,,
   18  TRIP,JULYNNE SPIDELL,  16,F,   06:23,0:19:53.
,,  16,F,   06:42,
,,  16,F,   06:47,
,,,,,
   19  TRIP,BRIAN RUMMELHART,  50,M,   06:25,0:20:06.
,,  50,M,   06:39,
,,  50,M,   07:01,
,,,,,
   20  TRIP,MARK WALTER,  54,M,   06:27,0:20:11.
,,  54,M,   06:50,
,,  54,M,   06:53,
,,,,,
   21  TRIP,LAUREN BAILEY,  38,F,   06:34,0:20:17.
,,  38,F,   06:48,
,,  38,F,   06:53,
,,,,,
   22  TRIP,CONNER CHASE,  15,M,   06:32,0:20:36.
,,  15,M,   06:53,
,,  15,M,   07:09,
,,,,,
   23  TRIP,JEFF TZUCKER,  43,M,   06:40,0:20:38.
,,  43,M,   06:55,
,,  43,M,   07:03,
,,,,,
